Text,File Name,Status
MAY 2025,MAY_2025.pdf,success
happy-new-toastmasters-year-17612971,happy-new-toastmasters-year-17612971.pdf,success
Powerhouse May 2025,POWERHOUSE_MAY_2025.pdf,success
Powerhouse April 2025,POWERHOUSE_APRIL_2025.pdf,success
Powerhouse March 2025,POWERHOUSE_MARCH_2025.pdf,success
Powerhouse Feb. 2025,POWERHOUSE_FEB_2025.pdf,failure
Powerhouse,POWERHOUSE.pdf,success
;,.pdf,success
Jan. 2025,JAN_2025.pdf,failure
Powerhouse; Dec. 2024,POWERHOUSE_DEC_2024.pdf,success
Powerhouse; Nov. 2024,POWERHOUSE_NOV_2024.pdf,success
Powerhouse Oct 2024,POWERHOUSE_OCT_2024.pdf,success
Powerhouse Sept 2024,POWERHOUSE_SEPT_2024.pdf,success
Powerhouse Aug 2024,POWERHOUSE_AUG_2024.pdf,success
Powerhouse July 2024,POWERHOUSE_JULY_2024.pdf,success
Powerhouse June 2024,POWERHOUSE_JUNE_2024.pdf,success
Powerhouse May 2024,POWERHOUSE_MAY_2024.pdf,success
Powerhouse April 2024,POWERHOUSE_APRIL_2024.pdf,success
Powerhouse March 2024,POWERHOUSE_MARCH_2024.pdf,success
Powerhouse Feb. 2024,POWERHOUSE_FEB_2024.pdf,success
Powerhouse Jan. 2024,POWERHOUSE_JAN_2024.pdf,success
Powerhouse Dec. 2023,POWERHOUSE_DEC_2023.pdf,success
Powerhouse Nov. 2023,POWERHOUSE_NOV_2023.pdf,success
Powerhouse Oct. 2023,POWERHOUSE_OCT_2023.pdf,success
Powerhouse Sept 2023,POWERHOUSE_SEPT_2023.pdf,success
Powerhouse Aug 2023,POWERHOUSE_AUG_2023.pdf,success
Powerhouse July 2023,POWERHOUSE_JULY_2023.pdf,success
Powerhouse Plus June 2021,POWERHOUSE_PLUS_JUNE_2021.pdf,success
Powerhouse June 2021,POWERHOUSE_JUNE_2021.pdf,success
Powerhouse Plus May 2021,POWERHOUSE_PLUS_MAY_2021.pdf,success
Powerhouse May 2021,POWERHOUSE_MAY_2021.pdf,success
Powerhouse Plus April 2021,POWERHOUSE_PLUS_APRIL_2021.pdf,success
Powerhouse April 2021,POWERHOUSE_APRIL_2021.pdf,success
Powerhouse Plus March 2021,POWERHOUSE_PLUS_MARCH_2021.pdf,success
Powerhouse March 2021,POWERHOUSE_MARCH_2021.pdf,success
Powerhouse Plus Feb 2021,POWERHOUSE_PLUS_FEB_2021.pdf,success
Powerhouse Feb 2021,POWERHOUSE_FEB_2021.pdf,success
Powerhouse Plus Jan 2021,POWERHOUSE_PLUS_JAN_2021.pdf,success
Powerhouse Jan 2021,POWERHOUSE_JAN_2021.pdf,success
Powerhouse Plus Dec 2020,POWERHOUSE_PLUS_DEC_2020.pdf,success
Powerhouse Dec 2020,POWERHOUSE_DEC_2020.pdf,success
Powerhouse Plus Nov 2020,POWERHOUSE_PLUS_NOV_2020.pdf,success
Powerhouse Nov 2020,POWERHOUSE_NOV_2020.pdf,success
Powerhouse Plus Oct 2020,POWERHOUSE_PLUS_OCT_2020.pdf,success
Powerhouse Oct 2020,POWERHOUSE_OCT_2020.pdf,success
Powerhouse Plus Sept 2020,POWERHOUSE_PLUS_SEPT_2020.pdf,success
Powerhouse Sept 2020,POWERHOUSE_SEPT_2020.pdf,success
Powerhouse Plus Aug 2020,POWERHOUSE_PLUS_AUG_2020.pdf,success
Powerhouse Aug 2020,POWERHOUSE_AUG_2020.pdf,success
Powerhouse Plus July 2020,POWERHOUSE_PLUS_JULY_2020.pdf,success
Powerhouse July 2020,POWERHOUSE_JULY_2020.pdf,success
Jan 2019 Powerhouse,JAN_2019_POWERHOUSE.pdf,failure
June 2016,JUNE_2016.pdf,failure
May 2016,MAY_2016.pdf,failure
March 2016,MARCH_2016.pdf,failure
February 2016,FEBRUARY_2016.pdf,failure
December 2015,DECEMBER_2015.pdf,failure
Powerhouse June 2023,12June2023District9PowerhouseNewsletter.pdf,success
Powerhouse May 2023,11_District_9_Powerhouse_Newsletter_May_2023_13_.pdf,success
Powerhouse April 2023,April2023District9PowerhouseNewsletter.pdf,success
Powerhouse March 2023,1680007935_District9PowerHouseNewsletter3.24.2023.pdf,success
Powerhouse Feb. 2023,POWERHOUSE_for_February_2023_40_.pdf,success
Powerhouse Jan. 2023,07_District_9_Powerhouse_Newsletter_January_2023_5_.pdf,success
Powerhouse Dec. 2022,06DecemberDistrict9PowerhouseNewsletter.pdf,success
Powerhouse Nov. 2022,05Nov22DistrictPowerhouseNewsletter.pdf,success
Powerhouse Oct. 2022,District_9_Power_House_Newsletter_October_2022_70_.pdf,success
Powerhouse Sept 2022,September_2022_POWERHOUSE_Newsletter_35_-compressed.pdf,success
Powerhouse August 2022,August_2022_POWERHOUSE_Newsletter_71_-compressed.pdf,success
Powerhouse July 2022,July_2022_POWERHOUSE_Newsletter_72_-compressed.pdf,success
June 2020 Powerhouse,Powerhouse_JUNE_2020_-reduced_size.pdf,success
May 2020 Powerhouse,Powerhouse_MAY_2020-reduced_file_size.pdf,success
April 2020 Powerhouse,Powerhouse_APRIL_2020-reduced_file_size.pdf,success
March 2020 Powerhouse,Powerhouse_MARCH_2020-reduced-file-size.pdf,success
Feb 2020 Powerhouse,Powerhouse_FEBRUARY_2020_reduced_file_size.pdf,success
Jan 2020 Powerhouse,Powerhouse_January_2020-rfs.pdf,success
Dec 2019 Powerhouse,Powerhouse_DECEMBER_2019-reduced_file_size.pdf,success
Nov 2019 Powerhouse,Powerhouse_NOVEMBER_2019-reduced_file_size.pdf,success
Oct 2019 Powerhouse,Powerhouse_OCTOBER_2019-reduced_file_size.pdf,success
Sept 2019 Powerhouse,Powerhouse_SEPTEMBER_2019-optimized.pdf,success
Aug 2019 Powerhouse,Powerhouse_August_2019-reduced_size.pdf,success
July 2019 Powerhouse,Powerhouse_July_2019-reduced_file_size.pdf,success
June 2019 Powerhouse,District_9_Powerhouse_June_2019-Optimiized-compressed.pdf,success
May 2019,1556659833_District_9_Powerhouse_May_2019.pdf,success
Powerhouse,1556659833_District_9_Powerhouse_May_2019.pdf,success
April 2019 Powerhouse,1554834992_District_9_Powerhouse_April_2019.pdf,success
March 2019 Powerhouse,District_9_Powerhouse_March_2019.pdf,success
Feb 2019 Powerhouse,District_9_Powerhouse_March_2019.pdf,success
Nov 2018 Powerhouse,November_2018_powerhouse_rev1.pdf,success
Sept 2018 Powerhouse,PowerHouse_Special_Edition_Sept_2018.pdf,success
June 2018,D9NewsletterJune2018.pdf,success
Powerhouse,D9NewsletterJune2018.pdf,success
May 2018,D9NewsletterMay2018Bonus.pdf,success
Powerhouse,D9NewsletterMay2018Bonus.pdf,success
Feb 2018,D9NewsletterFebruary2018.pdf,success
Powerhouse,D9NewsletterFebruary2018.pdf,success
Dec 2017 Po,D9NewsletterDecember2017.pdf,success
werhouse,D9NewsletterDecember2017.pdf,success
Aug 2017 Powerhouse,D9NewsletterAugust2017.pdf,success
July 2017 Power,D9NewsletterJuly2017.pdf,success
August,,failure. open ../../output/newsletters: is a directory
2015,,failure. open ../../output/newsletters: is a directory
July 2015,ToastmastersDistrict9_July_2015.pdf,success
May 2014,May2014Newsletter.pdf,success
April 2014,April2014Newsletter.pdf,success
March 2014,March2014.pdf,success
February 2014,Feb2014Newsletter.pdf,success
January 2014,Jan2014Newsletter.pdf,success
December 2013,Dec2013Newsletter.pdf,success
November 2013,Nov2013Newsletter.pdf,success
October 2013,Oct2013DistrictNewsletter.pdf,success
September 2013,Oct2013DistrictNewsletter.pdf,success
Post-convention 2013,PostConventionIssue2013.pdf,success
July 2013,July2013Newsletter.pdf,success
Powerhouse Mar 2017,D9NewsletterMarch2017.pdf,success
Powerhouse Nov 2016,D9_Newsletter_Nov_2016.pdf,success
Powerhouse Sept 2016,D9NewsletterSept2016.pdf,success
Powerhouse July 2016,D9NewsletterJuly2016.pdf,success
Winter 2015,Winter2015.pdf,success
Fall 2014,Fall2014Newsletter.pdf,success
Summer 2014,District9NewsletterSummer2014.pdf,success
June 2014,D9NewsletterJune2014.pdf,success
June 2013,June2013Newsletter.pdf,success
May 2013,May2013Newsletter.pdf,success
April 2013,April2013D9Newsletter.pdf,success
March 2013,March2013Newsletter.pdf,success
February 2013,Feb2013Newsletter.pdf,success
January 2013,Jan2013Newsletter.pdf,success
December 2012,Dec2012Newsletter.pdf,success
November 2012,Nov2012Newsletter.pdf,success
October 2012,Oct2012Newsletter.pdf,success
September 2012,Sept2012Newsletter.pdf,success
August 2012,D9NewsletterAugust2012.pdf,success
July 2012,D9NewsletterJuly2012.pdf,success
